mes,ano,alta,P_1-10,P_11-20,P_21-30,UR_1-10,UR_11-20,UR_21-30,TMAX_1-10,TMAX_11-20,TMAX_21-30,TMIN_1-10,TMIN_11-20,TMIN_21-30,NDR>1mm_1-10,NDR>1mm_11-20,NDR>1mm_21-30,NDR>10mm_1-10,NDR>10mm_11-20,NDR>10mm_21-30,NRH80_1-10,NRH80_11-20,NRH80_21-30,NRH90_1-10,NRH90_11-20,NRH90_21-30
fevereiro,2010,"41,5","75,07","78,03","19,98","84,761","81,279","79,288","25,473","26,396","27,682","17,847","18,576","18,102","9,7","6,7","7,3","3,5","1,3","4,4","6,5","7,2","8,3","1,1",0,0
março,2010,"56,25","51,7","33,81","20,86","79,316","78,41","78,408","27,255","27,599","27,779","17,492","17,807","17,169","5,9","5,1","7,2","1,3",0,2,3,"1,8","6,6",0,0,"1,3"
abril,2010,"66,25","28,64","73,49","45,24","83,08","83,109","80,44","26,816","26,332","26,37","17,787","17,482","16,424","8,3","5,4","8,4","1,3","1,3","3,9","9,7","4,9","7,9","0,5","0,5",1
maio,2010,"74,5","7,35","0,61","54,72","80,835","77,294","85,887","26,407","24,416","22,797","16,157","12,971","14,311","1,4","2,1","8,3",0,"1,5","1,5","3,2","6,8","9,7",0,"0,7","1,3"
junho,2010,"82,25","1,23","9,33","19,33","78,076","75,617","74,949","24,219","22,734","24,445","12,548","10,324","13,013","0,8","2,7","1,8",0,0,0,"2,2",3,"3,5",0,"0,8","0,2"
julho,2010,86,"0,19","1,85","8,95","68,289","67,483","77,257","24,74","22,837","21,456","10,337","8,104","9,716",0,"0,5","0,5",0,0,0,"0,1","2,9","3,5",0,0,0
agosto,2010,"86,75","0,13","21,4","0,16","63,934","74,737","66,72","25,553","24,841","24,19","11,238","13,044","9,955","0,8","2,2",0,"0,3","0,7",0,"1,3","1,7",0,0,0,0
setembro,2010,4,0,"0,46","0,04","39,509","55,493","60,747","30,631","24,576","26,192","11,278","8,016","10,828",0,0,0,0,0,0,0,0,0,0,0,0
outubro,2010,3,"41,8","22,19","5,63","68,381","52,257","49,71","28,363","30,503","29,216","15,711","12,472","12,229","5,6","2,9","0,5","0,7",0,0,"0,2",0,0,0,0,0
novembro,2010,3,"46,32","24,66","23,45","66,11","63,934","71,488","29,314","28,626","26,677","15,352","13,353","14,4","4,5","3,5","5,2","1,9","0,9","2,5",0,"0,7","3,9",0,0,0
dezembro,2010,"10,5","86,84","48,37","86,52","77,634","76,632","76,782","27,487","25,46","26,448","17,337","14,265","16,084","7,8",9,"6,5",4,"2,4","3,3",4,"5,3","3,2",0,0,0
janeiro,2011,"46,25","93,83","100,04","65,56","82,774","77,919","81,004","26,502","27,704","28,068","17,952","18,042","18,741","7,8","7,2","8,4","3,8","2,3","3,2","5,4","4,7","5,4",0,"0,5","0,5"
fevereiro,2011,"68,5","21,58","149,23","174,5","78,41","86,404","88,024","28,315","25,864","24,392","18,217","18,803","17,959","5,8","9,2","8,3","1,1","6,9","5,9","6,1","9,2","8,3","0,3","3,7",2
março,2011,"84,75","65,73","45,38","26,79","81,213","80,747","79,423","27,225","26,629","27,027","18,127","17,62","18,155",7,"4,7","4,4","0,9","0,4","0,8",6,"3,3","3,5",0,0,0
abril,2011,"88,5","29,32","65,08","130,68","85,304","85,182","89,08","25,193","25,746","23,257","17,547","17,464","16,479","4,2","7,5","9,8",1,"5,1","5,6","8,9",10,9,"0,3","1,8","3,1"
maio,2011,90,"19,18","3,41","40,43","83,784","83,601","84,522","23,29","25,047","24,65","14,75","16,209","15,927","2,1","3,3","7,6",0,"0,3","0,7","6,2","7,7","7,5","0,7","0,5","1,2"
junho,2011,"49,25","0,13","6,98","1,9","78,047","82,643","82,178","21,564","21,681","24,188","10,341","12,178","13,665","0,4","0,6","4,3",0,0,0,"5,7","8,6","8,1",0,0,"1,1"
julho,2011,26,"2,37","0,46","24,22","79,504","76,167","81,094","22,532","21,321","20,836","9,73","9,23","9,587","0,4","2,4","0,6",0,"0,9","0,1","2,5",4,"4,6",0,0,0
agosto,2011,"15,5","0,59","0,11","0,3","70,452","64,966","76,088","23,872","24,859","22,252","10,852","10,8","9,161",0,0,"0,5",0,0,0,"0,8","1,3","5,1",0,0,0
setembro,2011,"5,5","3,3","1,11","6,6","59,531","55,911","66,52","27,756","27,393","25,276","13,317","11,535","10,985",0,"0,2","0,8",0,0,0,0,"0,2","0,9",0,0,0
outubro,2011,"2,5","0,93","0,62","0,28","48,462","55,458","44,983","30,872","27,926","29,48","13,382","12,985","10,462",0,0,1,0,0,0,0,0,0,0,0,0
novembro,2011,3,"20,32","50,38","45,51","69,042","73,971","63,708","27,854","25,844","28,895","15,435","15,005","15,377","4,5",6,"1,9","0,8","2,5","1,7","1,4","2,6",0,0,0,0
dezembro,2011,5,"68,25","67,2","11,95","76,097","72,222","60,24","26,475","26,765","27,883","16,082","15,559","12,941","4,6","6,1","4,4","2,9","1,8",0,"1,8","1,1",0,0,0,0
janeiro,2012,"9,75","71,51","72,82","82,03","80,164","80,169","79,848","26,653","26,399","25,85","16,717","17,278","16,197","9,2","8,5","7,8","1,5","3,4","1,6","4,4","5,3","3,7","0,4","1,4","0,2"
fevereiro,2012,33,"61,95","63,51","107,73","82,387","83,397","82,248","25,831","24,606","24,779","16,017","16,792","15,942","7,8","9,5","9,3","2,3","3,1","3,8","9,3","8,5","5,8",0,"0,9",2
março,2012,"44,5","18,05","59,67","17,58","80,407","82,722","75,229","26,198","26,046","27,613","17,35","17,392","16,114","4,2","6,1","6,8","0,9","2,1","2,7","7,1","3,8","6,2","0,3","0,7",0
abril,2012,77,"42,79","60,54","11,68","81,578","82,745","75,788","26,348","25,618","27,167","16,632","16,655","16,543","5,4","6,6","4,3","1,5","1,4",0,"5,7","5,2","2,1","0,6","0,4",0
maio,2012,"84,5","36,99","10,33","15,51","81,217","79,269","79,218","25,625","26,096","26,348","16,015","16,29","16,123","3,4","3,4","4,7","1,1",0,"1,1","3,2","4,5","4,5",0,0,0
junho,2012,89,"13,77","24,26","4,12","77,341","80,502","75,601","23,463","21,594","23,066","12,791","12,362","11,585","2,6","1,2","5,2","0,4","0,6","1,7","3,4","2,6","5,2","0,5","0,5","1,9"
